parent,child
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/IJzer-_en_koperdraaiers
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/Scheepszeilnaaldenmakers
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/Geschutgieters__geweermakers
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/Zwaardvegers
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/Spijkermakers
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/IJzergieters
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/Stangenmakers
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/Koper-_en_geelgieters
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/Messenmakers_en_slijpers
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/Brandspuitmakers
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/Speldenfabrikanten_en_werklieden
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/Werktuigkundigen_en_makers
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/Lettergieters
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/Smeden__hoef-__kachel-_en_andere_
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/Jachthagelgieters
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/XI
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/IV
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/XV
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/X
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/XXVII
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/IX
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/XIV
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/VIII
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/XXIX
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/III
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/XVII
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/V
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/XXV
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/XXI
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/XIII
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/XIX
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/I
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/XXX
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/VI
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/XII
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/VII
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/XX
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/XVIII
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/XXIII
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/XXVIII
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/XXVI
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/XXII
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/XVI
http://www.data2semantics.org/data/1859_marked/Beroepen,http://www.data2semantics.org/data/1859_marked/Beroepen/II
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/XX
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/XII
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/XXV
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/XXIX
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/VII
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/V
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/XXVIII
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/XI
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/IV
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/XXII
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/I
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/XXVI
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/XXIV
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/VI
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/XIX
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/XXVII
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/XIII
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/XV
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/X
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/XXIII
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/XXXI
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/XVI
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/VIII
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/XVIII
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/III
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/XIV
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/XXX
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/XVII
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/IX
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/XXI
http://www.data2semantics.org/data/1859_marked/Klassen,http://www.data2semantics.org/data/1859_marked/Klassen/II
http://www.data2semantics.org/data/1859_marked/Beroepen/IV,http://www.data2semantics.org/data/1859_marked/Beroepen/IV/Modemakers_en_bloemenmakers
http://www.data2semantics.org/data/1859_marked/Beroepen/IV,http://www.data2semantics.org/data/1859_marked/Beroepen/IV/Breuk-_en_draagbanden-__keurslijfmakers
http://www.data2semantics.org/data/1859_marked/Beroepen/IV,http://www.data2semantics.org/data/1859_marked/Beroepen/IV/Haarwerkers
http://www.data2semantics.org/data/1859_marked/Beroepen/IV,http://www.data2semantics.org/data/1859_marked/Beroepen/IV/Stoffenververs_en_glanzers
http://www.data2semantics.org/data/1859_marked/Beroepen/IV,http://www.data2semantics.org/data/1859_marked/Beroepen/IV/Knopenmakers
http://www.data2semantics.org/data/1859_marked/Beroepen/IV,http://www.data2semantics.org/data/1859_marked/Beroepen/IV/Bontwerkers
http://www.data2semantics.org/data/1859_marked/Beroepen/IV,http://www.data2semantics.org/data/1859_marked/Beroepen/IV/Mangelvrouwen
http://www.data2semantics.org/data/1859_marked/Beroepen/IV,http://www.data2semantics.org/data/1859_marked/Beroepen/IV/Haarkammenmakers
http://www.data2semantics.org/data/1859_marked/Beroepen/IV,http://www.data2semantics.org/data/1859_marked/Beroepen/IV/Regenschermmakers
http://www.data2semantics.org/data/1859_marked/Beroepen/IV,http://www.data2semantics.org/data/1859_marked/Beroepen/IV/Naaisters__breisters__strijksters__wasvrouwen__werksters
http://www.data2semantics.org/data/1859_marked/Beroepen/IV,http://www.data2semantics.org/data/1859_marked/Beroepen/IV/Blekers
http://www.data2semantics.org/data/1859_marked/Beroepen/IV,http://www.data2semantics.org/data/1859_marked/Beroepen/IV/Brillenslijpers_en_verkopers
http://www.data2semantics.org/data/1859_marked/Beroepen/IV,http://www.data2semantics.org/data/1859_marked/Beroepen/IV/Badstoofhouders
http://www.data2semantics.org/data/1859_marked/Beroepen/IV,http://www.data2semantics.org/data/1859_marked/Beroepen/IV/Hoeden-__petten-_en_stroohoedenmakers
http://www.data2semantics.org/data/1859_marked/Beroepen/IV,http://www.data2semantics.org/data/1859_marked/Beroepen/IV/Baardscheerders__kappers_en_pruikenmakers
http://www.data2semantics.org/data/1859_marked/Beroepen/IV,http://www.data2semantics.org/data/1859_marked/Beroepen/IV/Kledermakers
http://www.data2semantics.org/data/1859_marked/Beroepen/XV,http://www.data2semantics.org/data/1859_marked/Beroepen/XV/Visverkopers
http://www.data2semantics.org/data/1859_marked/Beroepen/XV,http://www.data2semantics.org/data/1859_marked/Beroepen/XV/Wijnhandelaren
http://www.data2semantics.org/data/1859_marked/Beroepen/XV,http://www.data2semantics.org/data/1859_marked/Beroepen/XV/Kroeghouders__tappers
http://www.data2semantics.org/data/1859_marked/Beroepen/XV,http://www.data2semantics.org/data/1859_marked/Beroepen/XV/Zaadverkopers
http://www.data2semantics.org/data/1859_marked/Beroepen/XV,http://www.data2semantics.org/data/1859_marked/Beroepen/XV/Grossiers_en_slijters
http://www.data2semantics.org/data/1859_marked/Beroepen/XV,http://www.data2semantics.org/data/1859_marked/Beroepen/XV/Korenverschieters
http://www.data2semantics.org/data/1859_marked/Beroepen/XV,http://www.data2semantics.org/data/1859_marked/Beroepen/XV/Graanhandelaars
http://www.data2semantics.org/data/1859_marked/Beroepen/XV,http://www.data2semantics.org/data/1859_marked/Beroepen/XV/Broodslijters
http://www.data2semantics.org/data/1859_marked/Beroepen/XV,http://www.data2semantics.org/data/1859_marked/Beroepen/XV/Herbergiers-__kasteleins-_en_koffiehuishouders
http://www.data2semantics.org/data/1859_marked/Beroepen/XV,http://www.data2semantics.org/data/1859_marked/Beroepen/XV/Gaarkeukenhouders
http://www.data2semantics.org/data/1859_marked/Beroepen/XV,http://www.data2semantics.org/data/1859_marked/Beroepen/XV/Gistverkopers
http://www.data2semantics.org/data/1859_marked/Beroepen/X,http://www.data2semantics.org/data/1859_marked/Beroepen/X/Zeepzieders
http://www.data2semantics.org/data/1859_marked/Beroepen/X,http://www.data2semantics.org/data/1859_marked/Beroepen/X/Gazfabrikanten
http://www.data2semantics.org/data/1859_marked/Beroepen/X,http://www.data2semantics.org/data/1859_marked/Beroepen/X/Fabrikanten_van_friesch-groen
http://www.data2semantics.org/data/1859_marked/Beroepen/X,http://www.data2semantics.org/data/1859_marked/Beroepen/X/Inktfabrikanten
http://www.data2semantics.org/data/1859_marked/Beroepen/X,http://www.data2semantics.org/data/1859_marked/Beroepen/X/Loogstokers
http://www.data2semantics.org/data/1859_marked/Beroepen/X,http://www.data2semantics.org/data/1859_marked/Beroepen/X/Zwavelstokkenmakers_en_verkopers
http://www.data2semantics.org/data/1859_marked/Beroepen/X,http://www.data2semantics.org/data/1859_marked/Beroepen/X/Aluinfabrikanten
http://www.data2semantics.org/data/1859_marked/Beroepen/X,http://www.data2semantics.org/data/1859_marked/Beroepen/X/Kruidfabrikanten_en_vuurwerkmakers
http://www.data2semantics.org/data/1859_marked/Beroepen/X,http://www.data2semantics.org/data/1859_marked/Beroepen/X/Loodwitmakers
http://www.data2semantics.org/data/1859_marked/Beroepen/X,http://www.data2semantics.org/data/1859_marked/Beroepen/X/Beenzwartfabrikanten
http://www.data2semantics.org/data/1859_marked/Beroepen/X,http://www.data2semantics.org/data/1859_marked/Beroepen/X/Fabrikanten_van_verfwaren
http://www.data2semantics.org/data/1859_marked/Beroepen/X,http://www.data2semantics.org/data/1859_marked/Beroepen/X/Meekrapbereiders__droogers
http://www.data2semantics.org/data/1859_marked/Beroepen/X,http://www.data2semantics.org/data/1859_marked/Beroepen/X/Scheikundige_voortbrengselen__fabrikanten_in___verfverkopers
http://www.data2semantics.org/data/1859_marked/Beroepen/X,http://www.data2semantics.org/data/1859_marked/Beroepen/X/Zwavelmakers
http://www.data2semantics.org/data/1859_marked/Beroepen/X,http://www.data2semantics.org/data/1859_marked/Beroepen/X/Been-_en_ivoorbranders
http://www.data2semantics.org/data/1859_marked/Beroepen/X,http://www.data2semantics.org/data/1859_marked/Beroepen/X/Apothekers__drogisten_en_scheikundigen
http://www.data2semantics.org/data/1859_marked/Beroepen/XXVII,http://www.data2semantics.org/data/1859_marked/Beroepen/XXVII/Zeelieden_en_mariniers_beneden_den_rang_van_adelborst_1ste_klasse
http://www.data2semantics.org/data/1859_marked/Beroepen/XXVII,http://www.data2semantics.org/data/1859_marked/Beroepen/XXVII/Krijgslieden_van_en_boven_den_rang_van_tweeden_luitenant
http://www.data2semantics.org/data/1859_marked/Beroepen/XXVII,http://www.data2semantics.org/data/1859_marked/Beroepen/XXVII/Kadetten__adelborsten
http://www.data2semantics.org/data/1859_marked/Beroepen/XXVII,http://www.data2semantics.org/data/1859_marked/Beroepen/XXVII/Krijgslieden_beneden_den_rang_van_tweeden_luitenant
http://www.data2semantics.org/data/1859_marked/Beroepen/XXVII,http://www.data2semantics.org/data/1859_marked/Beroepen/XXVII/Veteranen
http://www.data2semantics.org/data/1859_marked/Beroepen/XXVII,http://www.data2semantics.org/data/1859_marked/Beroepen/XXVII/Zeelieden_en_mariniers_van_en_boven_den_rang_van_adelborst_1ste_klasse
http://www.data2semantics.org/data/1859_marked/Beroepen/IX,http://www.data2semantics.org/data/1859_marked/Beroepen/IX/Boekbinders
http://www.data2semantics.org/data/1859_marked/Beroepen/IX,http://www.data2semantics.org/data/1859_marked/Beroepen/IX/Linieerders
http://www.data2semantics.org/data/1859_marked/Beroepen/IX,http://www.data2semantics.org/data/1859_marked/Beroepen/IX/Bordpapier__werkers_in___dozen-_en_kaartenmakers
http://www.data2semantics.org/data/1859_marked/Beroepen/IX,http://www.data2semantics.org/data/1859_marked/Beroepen/IX/Speelkaartenfabrikanten
http://www.data2semantics.org/data/1859_marked/Beroepen/IX,http://www.data2semantics.org/data/1859_marked/Beroepen/IX/Steen-_en_plaatdrukkers
http://www.data2semantics.org/data/1859_marked/Beroepen/IX,http://www.data2semantics.org/data/1859_marked/Beroepen/IX/Boek-_en_dagbladdrukkers_en_verkopers
http://www.data2semantics.org/data/1859_marked/Beroepen/IX,http://www.data2semantics.org/data/1859_marked/Beroepen/IX/Papierfabrikanten_en_werklieden
http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV,http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV/Onderwijzers__onderwijzeressen__aan_zeevaartscholen
http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV,http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV/Kwekelingen_voor_%27t_lager_onderwijs
http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV,http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV/Schermmeesters
http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV,http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV/Onderwijzers__onderwijzeressen__aan_de_lagere_scholen
http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV,http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV/Taalmeesters__translateurs
http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV,http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV/Zeevaartscholen_te_Amsterdam_en_Groningen__leerlingen_aan_de_
http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV,http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV/Studenten_aan_hogescholen__athenaea__seminaries__clinische_scholen__enz_
http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV,http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV/Kostschoolhouders
http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV,http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV/Latijnsche_scholen__leerlingen_aan_
http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV,http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV/Hoogleeraren_aan_hogescholen__seminaries_enz_
http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV,http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV/Waterbouwkundige_leerlingen
http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV,http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV/Huisopvoeders
http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV,http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV/Onderwijzers__onderwijzeressen__hulp-
http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV,http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV/Landbouw-_en_landhuishoudkundige_scholen__leerlingen_aan_
http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV,http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV/Huisleerlingen
http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV,http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV/Onderwijzers__onderwijzeressen__aan_Latijnsche_scholen
http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV,http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV/Schoolleerlingen
http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV,http://www.data2semantics.org/data/1859_marked/Beroepen/XXIV/Onderwijzers__onderwijzeressen__aan_landbouw-_en_landhuishoudkundige_scholen
http://www.data2semantics.org/data/1859_marked/Beroepen/XIV,http://www.data2semantics.org/data/1859_marked/Beroepen/XIV/Pijpenmakers_en_knechts
http://www.data2semantics.org/data/1859_marked/Beroepen/XIV,http://www.data2semantics.org/data/1859_marked/Beroepen/XIV/Olieslagers
http://www.data2semantics.org/data/1859_marked/Beroepen/XIV,http://www.data2semantics.org/data/1859_marked/Beroepen/XIV/Pek-_en_teerstokers
http://www.data2semantics.org/data/1859_marked/Beroepen/XIV,http://www.data2semantics.org/data/1859_marked/Beroepen/XIV/Tabak-_en_sigaren-_kervers__knechts
http://www.data2semantics.org/data/1859_marked/Beroepen/XIV,http://www.data2semantics.org/data/1859_marked/Beroepen/XIV/Bijenkorvenmakers
